fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044884,93,Reims,343351,Valentin Atangana Edoa,10.0,6.7,0,0,0,0,5,4,0,5,1,0,0,1,0,0
1044884,93,Reims,21080,Alexandre Olliero,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,93,Reims,327691,Ibrahim DiakitÃ©,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,93,Reims,326068,Kamory Doumbia,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,93,Reims,386481,Mamadou Diakhon,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,1622,Gianluigi Donnarumma,90.0,6.6,0,0,0,0,13,13,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,9,Achraf Hakimi,90.0,8.2,0,0,0,0,108,102,1,6,1,0,0,1,0,0
1044881,85,Paris Saint Germain,381,Danilo Pereira,90.0,7.9,0,0,0,0,157,151,0,2,1,1,0,0,0,0
1044881,85,Paris Saint Germain,198,Milan Å kriniar,90.0,7.5,0,0,0,0,146,143,1,9,2,0,0,1,0,0
1044881,85,Paris Saint Germain,33,Lucas HernÃ¡ndez,82.0,7.9,0,0,1,0,98,92,3,9,8,1,2,1,0,0
1044881,85,Paris Saint Germain,336657,Warren ZaÃ¯re-Emery,90.0,7.3,0,0,0,0,113,106,0,3,0,0,0,0,0,0
1044881,85,Paris Saint Germain,51494,Manuel Ugarte,90.0,8,0,0,1,0,94,88,2,15,8,3,2,4,0,0
1044881,85,Paris Saint Germain,128384,Vitinha,68.0,7.3,0,0,1,0,60,55,2,5,3,1,0,0,0,0
1044881,85,Paris Saint Germain,927,Kang-in Lee,82.0,7.2,0,0,0,0,59,52,1,6,3,2,0,0,0,0
1044881,85,Paris Saint Germain,41585,GonÃ§alo Ramos,90.0,7.5,0,0,4,1,24,20,0,8,5,1,0,0,0,0
